START ('@start') [Linha 1, Coluna 0]
VIRG (',') [Linha 209, Coluna 24]
VAR ('num1') [Linha 209, Coluna 26]
VIRG (',') [Linha 209, Coluna 30]
STRING ('"+"') [Linha 209, Coluna 32]
VIRG (',') [Linha 209, Coluna 35]
VAR ('num2') [Linha 209, Coluna 37]
VIRG (',') [Linha 209, Coluna 41]
STRING ('"="') [Linha 209, Coluna 43]
VIRG (',') [Linha 209, Coluna 46]
VAR ('result') [Linha 209, Coluna 48]
C_I ('}') [Linha 210, Coluna 4]
ELSEIF ('elseif') [Linha 210, Coluna 6]
P_N ('(') [Linha 210, Coluna 13]
VAR ('operacao') [Linha 210, Coluna 14]
EQ ('==') [Linha 210, Coluna 23]
INT ('2') [Linha 210, Coluna 26]
P_I (')') [Linha 210, Coluna 27]
C_N ('{') [Linha 210, Coluna 29]
LET ('let') [Linha 211, Coluna 8]
VAR ('result') [Linha 211, Coluna 12]
POINT2 (':') [Linha 211, Coluna 18]
INT_TYPE ('int') [Linha 211, Coluna 20]
EQUALS ('=') [Linha 211, Coluna 24]
VAR ('num1') [Linha 211, Coluna 26]
SUB ('-') [Linha 211, Coluna 31]
VAR ('num2') [Linha 211, Coluna 33]
PRINT ('print') [Linha 212, Coluna 8]
DUPONT ('::') [Linha 212, Coluna 14]
STRING ('"Subtração:"') [Linha 212, Coluna 17]
VIRG (',') [Linha 212, Coluna 29]
VAR ('num1') [Linha 212, Coluna 31]
VIRG (',') [Linha 212, Coluna 35]
STRING ('"-"') [Linha 212, Coluna 37]
VIRG (',') [Linha 212, Coluna 40]
VAR ('num2') [Linha 212, Coluna 42]
VIRG (',') [Linha 212, Coluna 46]
STRING ('"="') [Linha 212, Coluna 48]
VIRG (',') [Linha 212, Coluna 51]
VAR ('result') [Linha 212, Coluna 53]
C_I ('}') [Linha 213, Coluna 4]
ELSEIF ('elseif') [Linha 213, Coluna 6]
P_N ('(') [Linha 213, Coluna 13]
VAR ('operacao') [Linha 213, Coluna 14]
EQ ('==') [Linha 213, Coluna 23]
INT ('3') [Linha 213, Coluna 26]
P_I (')') [Linha 213, Coluna 27]
C_N ('{') [Linha 213, Coluna 29]
LET ('let') [Linha 214, Coluna 8]
VAR ('result') [Linha 214, Coluna 12]
POINT2 (':') [Linha 214, Coluna 18]
INT_TYPE ('int') [Linha 214, Coluna 20]
EQUALS ('=') [Linha 214, Coluna 24]
VAR ('num1') [Linha 214, Coluna 26]
MUL ('*') [Linha 214, Coluna 31]
VAR ('num2') [Linha 214, Coluna 33]
PRINT ('print') [Linha 215, Coluna 8]
DUPONT ('::') [Linha 215, Coluna 14]
STRING ('"Multiplicação:"') [Linha 215, Coluna 17]
VIRG (',') [Linha 215, Coluna 33]
VAR ('num1') [Linha 215, Coluna 35]
VIRG (',') [Linha 215, Coluna 39]
STRING ('"*"') [Linha 215, Coluna 41]
VIRG (',') [Linha 215, Coluna 44]
VAR ('num2') [Linha 215, Coluna 46]
VIRG (',') [Linha 215, Coluna 50]
STRING ('"="') [Linha 215, Coluna 52]
VIRG (',') [Linha 215, Coluna 55]
VAR ('result') [Linha 215, Coluna 57]
C_I ('}') [Linha 216, Coluna 4]
ELSEIF ('elseif') [Linha 216, Coluna 6]
P_N ('(') [Linha 216, Coluna 13]
VAR ('operacao') [Linha 216, Coluna 14]
EQ ('==') [Linha 216, Coluna 23]
INT ('4') [Linha 216, Coluna 26]
P_I (')') [Linha 216, Coluna 27]
C_N ('{') [Linha 216, Coluna 29]
IF ('if') [Linha 217, Coluna 8]
P_N ('(') [Linha 217, Coluna 11]
VAR ('num2') [Linha 217, Coluna 12]
NEQ ('!=') [Linha 217, Coluna 17]
INT ('0') [Linha 217, Coluna 20]
P_I (')') [Linha 217, Coluna 21]
C_N ('{') [Linha 217, Coluna 23]
LET ('let') [Linha 218, Coluna 12]
VAR ('result') [Linha 218, Coluna 16]
POINT2 (':') [Linha 218, Coluna 22]
INT_TYPE ('int') [Linha 218, Coluna 24]
EQUALS ('=') [Linha 218, Coluna 28]
VAR ('num1') [Linha 218, Coluna 30]
DIV ('/') [Linha 218, Coluna 35]
VAR ('num2') [Linha 218, Coluna 37]
PRINT ('print') [Linha 219, Coluna 12]
DUPONT ('::') [Linha 219, Coluna 18]
STRING ('"Divisão:"') [Linha 219, Coluna 21]
VIRG (',') [Linha 219, Coluna 31]
VAR ('num1') [Linha 219, Coluna 33]
VIRG (',') [Linha 219, Coluna 37]
STRING ('"/"') [Linha 219, Coluna 39]
VIRG (',') [Linha 219, Coluna 42]
VAR ('num2') [Linha 219, Coluna 44]
VIRG (',') [Linha 219, Coluna 48]
STRING ('"="') [Linha 219, Coluna 50]
VIRG (',') [Linha 219, Coluna 53]
VAR ('result') [Linha 219, Coluna 55]
C_I ('}') [Linha 220, Coluna 8]
ELSE ('else') [Linha 220, Coluna 10]
C_N ('{') [Linha 220, Coluna 15]
PRINT ('print') [Linha 221, Coluna 12]
DUPONT ('::') [Linha 221, Coluna 18]
STRING ('"Erro: Divisão por zero!"') [Linha 221, Coluna 21]
C_I ('}') [Linha 222, Coluna 8]
C_I ('}') [Linha 223, Coluna 4]
LET ('let') [Linha 226, Coluna 4]
VAR ('n') [Linha 226, Coluna 8]
POINT2 (':') [Linha 226, Coluna 9]
INT_TYPE ('int') [Linha 226, Coluna 11]
EQUALS ('=') [Linha 226, Coluna 15]
INT ('5') [Linha 226, Coluna 17]
LET ('let') [Linha 227, Coluna 4]
VAR ('fatorial') [Linha 227, Coluna 8]
POINT2 (':') [Linha 227, Coluna 16]
INT_TYPE ('int') [Linha 227, Coluna 18]
EQUALS ('=') [Linha 227, Coluna 22]
INT ('1') [Linha 227, Coluna 24]
PRINT ('print') [Linha 228, Coluna 4]
DUPONT ('::') [Linha 228, Coluna 10]
STRING ('"Calculando fatorial de"') [Linha 228, Coluna 13]
VIRG (',') [Linha 228, Coluna 37]
VAR ('n') [Linha 228, Coluna 39]
FOR ('for') [Linha 230, Coluna 4]
VAR ('f') [Linha 230, Coluna 8]
IN ('in') [Linha 230, Coluna 10]
INT ('1') [Linha 230, Coluna 13]
DOT2 ('..') [Linha 230, Coluna 14]
VAR ('n') [Linha 230, Coluna 16]
C_N ('{') [Linha 230, Coluna 18]
VAR ('fatorial') [Linha 231, Coluna 8]
MUL ('*') [Linha 231, Coluna 17]
EQUALS ('=') [Linha 231, Coluna 18]
VAR ('f') [Linha 231, Coluna 20]
PRINT ('print') [Linha 232, Coluna 8]
DUPONT ('::') [Linha 232, Coluna 14]
STRING ('"Passo"') [Linha 232, Coluna 17]
VIRG (',') [Linha 232, Coluna 24]
VAR ('f') [Linha 232, Coluna 26]
VIRG (',') [Linha 232, Coluna 27]
STRING ('":"') [Linha 232, Coluna 29]
VIRG (',') [Linha 232, Coluna 32]
VAR ('fatorial') [Linha 232, Coluna 34]
C_I ('}') [Linha 233, Coluna 4]
PRINT ('print') [Linha 234, Coluna 4]
DUPONT ('::') [Linha 234, Coluna 10]
STRING ('"Fatorial final:"') [Linha 234, Coluna 13]
VIRG (',') [Linha 234, Coluna 30]
VAR ('fatorial') [Linha 234, Coluna 32]
LET ('let') [Linha 237, Coluna 4]
VAR ('fib1') [Linha 237, Coluna 8]
POINT2 (':') [Linha 237, Coluna 12]
INT_TYPE ('int') [Linha 237, Coluna 14]
EQUALS ('=') [Linha 237, Coluna 18]
INT ('0') [Linha 237, Coluna 20]
LET ('let') [Linha 238, Coluna 4]
VAR ('fib2') [Linha 238, Coluna 8]
POINT2 (':') [Linha 238, Coluna 12]
INT_TYPE ('int') [Linha 238, Coluna 14]
EQUALS ('=') [Linha 238, Coluna 18]
INT ('1') [Linha 238, Coluna 20]
LET ('let') [Linha 239, Coluna 4]
VAR ('fib_count') [Linha 239, Coluna 8]
POINT2 (':') [Linha 239, Coluna 17]
INT_TYPE ('int') [Linha 239, Coluna 19]
EQUALS ('=') [Linha 239, Coluna 23]
INT ('0') [Linha 239, Coluna 25]
PRINT ('print') [Linha 241, Coluna 4]
DUPONT ('::') [Linha 241, Coluna 10]
STRING ('"Sequência de Fibonacci:"') [Linha 241, Coluna 13]
PRINT ('print') [Linha 242, Coluna 4]
DUPONT ('::') [Linha 242, Coluna 10]
STRING ('"F(0) ="') [Linha 242, Coluna 13]
VIRG (',') [Linha 242, Coluna 21]
VAR ('fib1') [Linha 242, Coluna 23]
PRINT ('print') [Linha 243, Coluna 4]
DUPONT ('::') [Linha 243, Coluna 10]
STRING ('"F(1) ="') [Linha 243, Coluna 13]
VIRG (',') [Linha 243, Coluna 21]
VAR ('fib2') [Linha 243, Coluna 23]
WHILE ('while') [Linha 245, Coluna 4]
P_N ('(') [Linha 245, Coluna 10]
VAR ('fib_count') [Linha 245, Coluna 11]
LT ('<') [Linha 245, Coluna 21]
INT ('8') [Linha 245, Coluna 23]
P_I (')') [Linha 245, Coluna 24]
C_N ('{') [Linha 245, Coluna 26]
LET ('let') [Linha 246, Coluna 8]
VAR ('proximo') [Linha 246, Coluna 12]
POINT2 (':') [Linha 246, Coluna 19]
INT_TYPE ('int') [Linha 246, Coluna 21]
EQUALS ('=') [Linha 246, Coluna 25]
VAR ('fib1') [Linha 246, Coluna 27]
ADD ('+') [Linha 246, Coluna 32]
VAR ('fib2') [Linha 246, Coluna 34]
VAR ('fib_count') [Linha 247, Coluna 8]
ADD ('+') [Linha 247, Coluna 18]
EQUALS ('=') [Linha 247, Coluna 19]
INT ('1') [Linha 247, Coluna 21]
PRINT ('print') [Linha 248, Coluna 8]
DUPONT ('::') [Linha 248, Coluna 14]
STRING ('"F("') [Linha 248, Coluna 17]
VIRG (',') [Linha 248, Coluna 22]
VAR ('fib_count') [Linha 248, Coluna 24]
ADD ('+') [Linha 248, Coluna 34]
INT ('1') [Linha 248, Coluna 36]
VIRG (',') [Linha 248, Coluna 37]
STRING ('") ="') [Linha 248, Coluna 39]
VIRG (',') [Linha 248, Coluna 44]
VAR ('proximo') [Linha 248, Coluna 46]
VAR ('fib1') [Linha 249, Coluna 8]
EQUALS ('=') [Linha 249, Coluna 13]
VAR ('fib2') [Linha 249, Coluna 15]
VAR ('fib2') [Linha 250, Coluna 8]
EQUALS ('=') [Linha 250, Coluna 13]
VAR ('proximo') [Linha 250, Coluna 15]
C_I ('}') [Linha 251, Coluna 4]
LET ('let') [Linha 254, Coluna 4]
VAR ('nota') [Linha 254, Coluna 8]
POINT2 (':') [Linha 254, Coluna 12]
INT_TYPE ('int') [Linha 254, Coluna 14]
EQUALS ('=') [Linha 254, Coluna 18]
INT ('8') [Linha 254, Coluna 20]
LET ('let') [Linha 255, Coluna 4]
VAR ('frequencia') [Linha 255, Coluna 8]
POINT2 (':') [Linha 255, Coluna 18]
INT_TYPE ('int') [Linha 255, Coluna 20]
EQUALS ('=') [Linha 255, Coluna 24]
INT ('85') [Linha 255, Coluna 26]
PRINT ('print') [Linha 257, Coluna 4]
DUPONT ('::') [Linha 257, Coluna 10]
STRING ('"=== VALIDAÇÃO DE APROVAÇÃO ==="') [Linha 257, Coluna 13]
PRINT ('print') [Linha 258, Coluna 4]
DUPONT ('::') [Linha 258, Coluna 10]
STRING ('"Nota:"') [Linha 258, Coluna 13]
VIRG (',') [Linha 258, Coluna 20]
VAR ('nota') [Linha 258, Coluna 22]
PRINT ('print') [Linha 259, Coluna 4]
DUPONT ('::') [Linha 259, Coluna 10]
STRING ('"Frequência:"') [Linha 259, Coluna 13]
VIRG (',') [Linha 259, Coluna 26]
VAR ('frequencia') [Linha 259, Coluna 28]
IF ('if') [Linha 261, Coluna 4]
P_N ('(') [Linha 261, Coluna 7]
VAR ('nota') [Linha 261, Coluna 8]
GTE ('>=') [Linha 261, Coluna 13]
INT ('7') [Linha 261, Coluna 16]
AND ('&&') [Linha 261, Coluna 18]
VAR ('frequencia') [Linha 261, Coluna 21]
GTE ('>=') [Linha 261, Coluna 32]
INT ('75') [Linha 261, Coluna 35]
P_I (')') [Linha 261, Coluna 37]
C_N ('{') [Linha 261, Coluna 39]
PRINT ('print') [Linha 262, Coluna 8]
DUPONT ('::') [Linha 262, Coluna 14]
STRING ('"APROVADO!"') [Linha 262, Coluna 17]
C_I ('}') [Linha 263, Coluna 4]
ELSEIF ('elseif') [Linha 263, Coluna 6]
P_N ('(') [Linha 263, Coluna 13]
VAR ('nota') [Linha 263, Coluna 14]
GTE ('>=') [Linha 263, Coluna 19]
INT ('5') [Linha 263, Coluna 22]
AND ('&&') [Linha 263, Coluna 24]
VAR ('frequencia') [Linha 263, Coluna 27]
GTE ('>=') [Linha 263, Coluna 38]
INT ('75') [Linha 263, Coluna 41]
P_I (')') [Linha 263, Coluna 43]
C_N ('{') [Linha 263, Coluna 45]
PRINT ('print') [Linha 264, Coluna 8]
DUPONT ('::') [Linha 264, Coluna 14]
STRING ('"RECUPERAÇÃO"') [Linha 264, Coluna 17]
C_I ('}') [Linha 265, Coluna 4]
ELSE ('else') [Linha 265, Coluna 6]
C_N ('{') [Linha 265, Coluna 11]
PRINT ('print') [Linha 266, Coluna 8]
DUPONT ('::') [Linha 266, Coluna 14]
STRING ('"REPROVADO!"') [Linha 266, Coluna 17]
C_I ('}') [Linha 267, Coluna 4]
PRINT ('print') [Linha 273, Coluna 4]
DUPONT ('::') [Linha 273, Coluna 10]
STRING ('"=========================="') [Linha 273, Coluna 13]
PRINT ('print') [Linha 274, Coluna 4]
DUPONT ('::') [Linha 274, Coluna 10]
STRING ('"Demonstração finalizada!"') [Linha 274, Coluna 13]
PRINT ('print') [Linha 275, Coluna 4]
DUPONT ('::') [Linha 275, Coluna 10]
STRING ('"Todas as funcionalidades foram testadas:"') [Linha 275, Coluna 13]
PRINT ('print') [Linha 276, Coluna 4]
DUPONT ('::') [Linha 276, Coluna 10]
STRING ('"Tipos: int, String"') [Linha 276, Coluna 13]
PRINT ('print') [Linha 277, Coluna 4]
DUPONT ('::') [Linha 277, Coluna 10]
STRING ('"Operadores: +, -, *, /, ==, !=, <, >, <=, >=, &&, ||"') [Linha 277, Coluna 13]
PRINT ('print') [Linha 278, Coluna 4]
DUPONT ('::') [Linha 278, Coluna 10]
STRING ('"Estruturas: if/elseif/else, for, while"') [Linha 278, Coluna 13]
PRINT ('print') [Linha 279, Coluna 4]
DUPONT ('::') [Linha 279, Coluna 10]
STRING ('"E/S: print, input"') [Linha 279, Coluna 13]
PRINT ('print') [Linha 280, Coluna 4]
DUPONT ('::') [Linha 280, Coluna 10]
STRING ('"Expressões complexas e precedência"') [Linha 280, Coluna 13]
PRINT ('print') [Linha 281, Coluna 4]
DUPONT ('::') [Linha 281, Coluna 10]
STRING ('"=========================="') [Linha 281, Coluna 13]
END ('@end') [Linha 283, Coluna 0]
WS ('<EOF>') [Linha 283, Coluna 4]
